id_cliente;empresa;segmento;uf;plano;usuarios;mrr;meses_de_casa;dias_sem_uso;features_usadas_30d;perfil_pagador;historico_pagamento;falhas_90d
cli-0048;Prisma Varejo;Saúde;MG;Profissional;8;"142,01";66;1;8;CLT;"0,577";3
cli-0049;Base Farma Ltda.;Jurídico;DF;Business;12;"316,38";17;;;freelancer;"0,686";0
cli-0050;Clave Varejo ME;Construção;PR;Essencial;1;"40,20";19;1;6;CLT;"0,461";1
cli-0051;Base Engenharia;Serviços;PE;Essencial;1;"42,31";20;3;5;CLT;"0,869";2
cli-0052;Norte Consultoria;Agro;PE;Business;15;"341,94";23;0;8;CLT;"0,929";2
cli-0053;Meta Estética SP;Serviços;ES;Business;15;"363,10";18;1;4;PJ;"0,798";1
cli-0054;Nexo Móveis;Logística;DF;Essencial;1;"47,00";25;4;6;PJ;"0,774";1
cli-0055;Marco Gráfica ME;Logística;DF;Business;7;"243,64";15;;;freelancer;"0,889";1
cli-0056;Base Jurídico Ltda.;Serviços;ES;Essencial;1;"46,04";16;6;3;CLT;"0,576";1
cli-0057;Mapa Educação;Varejo;GO;Essencial;1;"39,86";6;6;2;CLT;"0,806";1
cli-0058;Ágil Logística;Jurídico;BA;Profissional;5;"111,28";6;9;5;PJ;"0,685";1
cli-0059;Mapa Gráfica;Educação;PR;Essencial;1;"44,84";1;0;6;freelancer;"0,744";0
cli-0060;Clave Farma ME;Jurídico;CE;Profissional;8;"153,24";27;1;8;CLT;"0,414";4
cli-0061;Lagoa Farma;Educação;CE;Profissional;1;"85,19";16;1;2;PJ;"0,807";0
cli-0062;Fluxo Arquitetura;Serviços;ES;Business;7;"243,41";9;4;3;PJ;"0,663";2
cli-0063;Serra Pet Ltda.;Agro;SP;Essencial;5;"57,76";43;1;8;PJ;"0,984";1
cli-0064;Lagoa Fitness;Logística;SC;Essencial;1;"45,87";13;;;CLT;"0,83";2
cli-0065;Rota Arquitetura ME;Varejo;PE;Essencial;3;"52,21";18;15;1;CLT;"0,477";0
cli-0066;Norte Gráfica;Serviços;RJ;Essencial;3;"59,32";49;1;6;CLT;"0,646";2
cli-0067;Foco Gráfica;Construção;PE;Essencial;7;"74,81";2;4;2;CLT;"0,866";0
cli-0068;Sinal Eventos;Jurídico;PR;Essencial;1;"43,94";10;0;6;freelancer;"0,696";2
cli-0069;Nexo Fitness;Logística;DF;Business;7;"287,56";1;2;9;CLT;"0,795";2
cli-0070;Cerrado Farma Ltda.;Jurídico;GO;Business;7;"244,41";3;2;5;CLT;"0,889";4
cli-0071;Trilha Pet;Construção;PE;Profissional;6;"120,78";23;3;6;PJ;"0,889";1
cli-0072;Foco Fitness;Serviços;RS;Essencial;2;"49,17";1;2;4;freelancer;"0,757";2
cli-0073;Rota Logística;Serviços;CE;Profissional;8;"131,29";9;3;3;CLT;"0,977";1
cli-0074;Vetor Estética;Construção;PE;Essencial;1;"45,43";8;0;6;freelancer;"0,395";0
cli-0075;Rota Logística ME;Logística;SP;Profissional;4;"115,71";28;0;7;CLT;"0,76";1
cli-0076;Raiz Logística;Serviços;BA;Business;9;"302,30";4;0;10;CLT;"0,384";0
cli-0077;Ponte Consultoria Ltda.;Logística;BA;Profissional;4;"105,66";13;1;8;CLT;"0,887";2
cli-0078;Pulso Fitness;Serviços;RS;Profissional;2;"98,89";2;4;9;CLT;"0,897";1
cli-0079;Prisma Turismo;Logística;ES;Profissional;4;"118,84";8;0;8;CLT;"0,679";2
cli-0080;Eixo Agro ME;Varejo;CE;Profissional;4;"105,29";1;0;6;CLT;"0,892";1
cli-0081;Mapa Estética PR;Agro;CE;Essencial;4;"61,73";5;3;9;CLT;"0,714";0
cli-0082;Clave Imóveis;Saúde;PE;Business;10;"271,76";20;0;7;freelancer;"0,534";0
cli-0083;Sol Agro;Varejo;RJ;Profissional;4;"115,99";36;0;7;PJ;"0,917";0
cli-0084;Ponte Varejo Ltda.;Saúde;CE;Essencial;1;"42,19";3;1;8;CLT;"0,758";2
cli-0085;Vale Odonto ME;Logística;SC;Profissional;10;"159,13";33;4;9;PJ;"0,763";3
cli-0086;Lagoa Turismo;Construção;BA;Profissional;2;"94,19";83;1;4;PJ;"0,546";5
cli-0087;Prisma Seguros;Serviços;PR;Essencial;1;"42,65";16;0;4;CLT;"0,783";0
cli-0088;Sol Gráfica;Agro;SC;Essencial;2;"53,64";2;0;6;CLT;"0,347";2
cli-0089;Ágil Consultoria SP;Agro;PE;Profissional;8;"131,58";4;1;7;CLT;"0,522";2
cli-0090;Órbita Transportes ME;Agro;SP;Essencial;2;"53,53";1;30;3;freelancer;"0,864";2
cli-0091;Alpha Varejo Ltda.;Agro;RS;Business;13;"347,90";17;6;8;PJ;"0,787";2
cli-0092;Ponte Consultoria;Saúde;BA;Profissional;6;"118,61";2;1;2;PJ;"0,462";1
cli-0093;Mapa Clínicas SP;Agro;PE;Essencial;1;"40,17";8;0;7;PJ;"0,898";0
cli-0094;Base Móveis;Saúde;MG;Essencial;2;"46,33";19;1;9;freelancer;"0,83";0
cli-0095;Mapa Estética ME;Varejo;PR;Essencial;4;"56,07";2;0;7;freelancer;"0,826";2
cli-0096;Base Gráfica;Saúde;SC;Profissional;8;"151,66";1;0;9;CLT;"0,9";1
cli-0097;Ipê Fitness;Agro;DF;Essencial;1;"48,12";18;0;4;CLT;"0,798";0
cli-0098;Ipê Farma Ltda.;Educação;SP;Profissional;9;"162,41";5;0;6;CLT;"0,918";0
cli-0099;Meta Agro;Logística;SP;Profissional;7;"140,41";1;2;8;PJ;"0,824";0
cli-0100;Eixo Estética ME;Construção;BA;Essencial;4;"60,72";7;5;2;PJ;"0,634";3
cli-0101;Nexo Contábil;Varejo;BA;Business;16;"394,23";14;0;5;CLT;"0,63";1
cli-0102;Vetor Móveis;Saúde;SP;Essencial;2;"49,46";12;5;3;CLT;"0,479";4
cli-0103;Órbita Gráfica;Varejo;SP;Essencial;2;"47,62";8;0;5;CLT;"0,371";1
cli-0104;Raiz Clínicas;Varejo;SP;Essencial;3;"56,54";42;5;5;PJ;"0,907";2
cli-0105;Ipê Jurídico Ltda.;Logística;PR;Profissional;2;"88,60";20;2;5;PJ;"0,973";3
cli-0106;Mapa Transportes;Logística;DF;Essencial;2;"45,49";13;0;9;PJ;"0,723";1
cli-0107;Pulso Varejo;Logística;SP;Essencial;3;"49,42";9;5;8;CLT;"0,87";0
cli-0108;Lagoa Móveis;Saúde;CE;Profissional;9;"154,06";2;5;4;freelancer;"0,916";2
cli-0109;Serra Eventos;Construção;RJ;Business;17;"382,55";7;0;9;freelancer;"0,482";1
cli-0110;Nexo Seguros ME;Varejo;ES;Essencial;4;"60,20";26;0;10;PJ;"0,579";5
cli-0111;Marco Eventos;Agro;BA;Essencial;4;"58,13";8;1;7;CLT;"0,675";1
cli-0112;Norte Jurídico Ltda.;Saúde;SP;Essencial;1;"47,79";6;0;7;CLT;"0,983";1
cli-0113;Sinal Jurídico;Construção;SP;Profissional;10;"172,15";3;1;8;CLT;"0,861";1
cli-0114;Lumen Jurídico;Construção;RS;Essencial;1;"43,59";17;4;5;PJ;"0,392";1
cli-0115;Ponte Eventos ME;Construção;SP;Essencial;3;"51,82";1;2;3;PJ;"0,867";5
cli-0116;Sol Móveis;Construção;DF;Profissional;6;"131,16";18;0;8;CLT;"0,676";2
cli-0117;Alpha Consultoria;Logística;SP;Essencial;1;"42,58";27;0;6;PJ;"0,9";4
cli-0118;Ponte Fitness;Logística;DF;Business;13;"339,81";3;1;8;PJ;"0,409";1
cli-0119;Sinal Eventos Ltda. DF;Educação;SP;Essencial;1;"47,68";54;0;6;CLT;"0,374";1
cli-0120;Ipê Móveis ME CE;Jurídico;SP;Profissional;4;"116,66";26;19;1;PJ;"0,635";4
cli-0121;Lumen Odonto;Construção;PE;Profissional;2;"89,84";1;0;7;CLT;"0,67";1
cli-0122;Cerrado Imóveis;Saúde;PR;Essencial;2;"48,12";3;3;8;CLT;"0,819";2
cli-0123;Marco Móveis;Educação;SC;Profissional;4;"108,29";38;0;7;CLT;"0,844";1
cli-0124;Norte Turismo;Saúde;BA;Essencial;4;"53,83";6;1;9;PJ;"0,724";2
cli-0125;Ágil Agro ME;Serviços;GO;Essencial;1;"40,38";35;4;6;freelancer;"0,939";5
cli-0126;Ipê Estética Ltda.;Logística;GO;Essencial;1;"42,93";19;0;8;PJ;"0,492";1
cli-0127;Sol Transportes;Saúde;SC;Essencial;3;"57,36";38;3;7;freelancer;"0,78";0
cli-0128;Ipê Agro;Educação;CE;Essencial;4;"58,28";9;3;7;CLT;"0,767";1
cli-0129;Órbita Varejo;Agro;MG;Business;13;"350,79";16;4;8;CLT;"0,775";1
cli-0130;Órbita Eventos ME;Jurídico;SP;Profissional;2;"88,92";51;3;9;freelancer;"0,828";4
cli-0131;Norte Estética;Saúde;SP;Essencial;1;"40,97";42;0;5;PJ;"0,497";2
cli-0132;Mapa Varejo;Logística;SC;Essencial;1;"41,79";17;1;9;CLT;"0,836";0
cli-0133;Mapa Móveis Ltda.;Serviços;PE;Essencial;2;"52,16";1;0;7;CLT;"0,78";2
cli-0134;Base Eventos;Agro;CE;Profissional;6;"115,33";22;1;6;PJ;"0,87";2
cli-0135;Vale Transportes ME;Saúde;MG;Essencial;3;"54,99";17;4;6;freelancer;"0,829";1
cli-0136;Sol Eventos;Agro;GO;Profissional;6;"122,27";16;4;4;CLT;"0,853";2
cli-0137;Trilha Transportes;Jurídico;SP;Essencial;1;"43,53";8;0;7;PJ;"0,617";1
cli-0138;Sol Clínicas;Agro;RS;Essencial;1;"42,70";5;0;9;CLT;"0,943";0
cli-0139;Foco Móveis;Jurídico;SP;Profissional;6;"114,41";10;5;3;PJ;"0,985";0
cli-0140;Norte Farma Ltda.;Varejo;SP;Essencial;4;"62,47";8;0;3;CLT;"0,635";1
cli-0141;Ágil Gráfica;Serviços;MG;Profissional;7;"139,22";8;1;8;freelancer;"0,814";0
cli-0142;Lumen Seguros;Saúde;PR;Essencial;1;"48,38";12;1;5;PJ;"0,918";2
cli-0143;Vetor Engenharia;Construção;PR;Business;22;"382,44";10;0;8;PJ;"0,389";2
cli-0144;Rota Turismo;Saúde;ES;Profissional;1;"94,14";6;3;8;freelancer;"0,913";0
cli-0145;Sol Imóveis ME;Educação;PR;Essencial;1;"47,21";8;4;6;CLT;"0,709";0
cli-0146;Cerrado Transportes;Logística;PR;Essencial;1;"45,73";29;0;7;PJ;"0,278";2
cli-0147;Órbita Transportes Ltda.;Jurídico;SP;Essencial;2;"44,47";22;0;5;PJ;"0,701";2
cli-0148;Fluxo Seguros;Construção;PE;Essencial;1;"40,07";13;0;9;PJ;"0,891";0
cli-0149;Prisma Arquitetura;Educação;CE;Essencial;1;"43,30";36;0;8;CLT;"0,853";3
cli-0150;Raiz Odonto ME RJ;Saúde;PE;Profissional;5;"112,07";11;0;5;PJ;"0,815";1
cli-0151;Prisma Móveis;Educação;CE;Essencial;1;"40,26";5;1;9;freelancer;"0,76";5
cli-0152;Serra Gráfica;Logística;PR;Business;16;"342,97";1;4;7;PJ;"0,48";2
cli-0153;Sol Seguros;Serviços;SP;Essencial;1;"41,86";1;0;1;freelancer;"0,862";2
cli-0154;Lagoa Fitness Ltda.;Logística;MG;Profissional;8;"142,46";12;10;2;CLT;"0,41";1
cli-0155;Ponte Arquitetura ME;Agro;SC;Essencial;6;"72,99";7;2;8;PJ;"0,718";1
cli-0156;Sinal Imóveis;Agro;PR;Essencial;1;"40,11";19;0;9;CLT;"0,804";0
cli-0157;Vale Engenharia SP;Construção;SP;Essencial;2;"52,30";5;1;8;CLT;"0,732";1
cli-0158;Ipê Jurídico;Construção;BA;Essencial;2;"49,41";22;0;5;CLT;"0,805";1
cli-0159;Fluxo Clínicas;Jurídico;SP;Essencial;1;"47,66";13;3;7;PJ;"0,695";4
cli-0160;Ágil Agro ME SP;Varejo;SP;Essencial;2;"51,45";13;0;8;CLT;"0,838";0
cli-0161;Serra Educação Ltda.;Educação;RJ;Essencial;2;"44,45";4;0;5;PJ;"0,547";1
cli-0162;Marco Consultoria SP;Varejo;SC;Essencial;2;"45,48";5;4;4;CLT;"0,568";1
cli-0163;Ágil Pet;Educação;BA;Essencial;1;"43,41";8;5;6;CLT;"0,337";2
cli-0164;Sinal Gráfica;Varejo;SP;Essencial;1;"45,69";59;2;5;CLT;"0,726";2
cli-0165;Cerrado Transportes ME;Jurídico;RJ;Profissional;9;"164,48";1;;;CLT;"0,893";1
cli-0166;Sinal Fitness;Educação;SP;Essencial;3;"57,66";66;0;9;CLT;"0,892";0
cli-0167;Órbita Jurídico;Logística;CE;Essencial;1;"45,53";9;0;9;CLT;"0,854";1
cli-0168;Mapa Gráfica Ltda.;Construção;PE;Profissional;3;"102,52";2;4;5;CLT;"0,894";1
cli-0169;Órbita Odonto PE;Jurídico;RS;Profissional;4;"120,45";12;1;7;freelancer;"0,867";1
cli-0170;Foco Contábil ME;Logística;SP;Essencial;2;"50,96";5;1;8;freelancer;"0,833";2
cli-0171;Ágil Transportes;Educação;RJ;Essencial;3;"58,60";15;1;7;CLT;"0,927";1
cli-0172;Rota Agro;Varejo;SP;Profissional;5;"130,22";25;2;9;CLT;"0,711";1
cli-0173;Trilha Odonto;Logística;PR;Essencial;2;"45,21";15;2;7;freelancer;"0,77";1
cli-0174;Vale Gráfica;Varejo;SP;Profissional;8;"131,28";10;0;8;CLT;"0,499";2
cli-0175;Trilha Estética Ltda. BA;Serviços;DF;Essencial;1;"42,80";11;1;8;PJ;"0,568";2
cli-0176;Ipê Turismo;Educação;CE;Business;8;"288,25";2;14;3;PJ;"0,45";1
cli-0177;Sol Educação;Jurídico;MG;Essencial;2;"52,68";1;0;9;CLT;"0,417";2
cli-0178;Rota Transportes;Educação;SP;Essencial;1;"45,87";18;1;7;CLT;"0,822";3
cli-0179;Meta Móveis;Construção;MG;Profissional;2;"93,95";1;2;9;CLT;"0,657";0
cli-0180;Mapa Odonto ME;Jurídico;RJ;Essencial;1;"46,47";2;4;7;CLT;"0,728";1
cli-0181;Cerrado Odonto DF;Varejo;SP;Profissional;1;"86,83";14;0;1;CLT;"0,844";4
cli-0182;Vale Consultoria Ltda.;Agro;BA;Essencial;2;"48,69";3;0;10;CLT;"0,798";2
cli-0183;Ponte Arquitetura;Serviços;BA;Business;12;"350,32";4;2;7;CLT;"0,641";3
cli-0184;Sinal Seguros;Serviços;ES;Profissional;6;"136,34";8;1;8;PJ;"0,223";2
cli-0185;Base Transportes ME;Serviços;ES;Essencial;4;"60,61";34;4;4;freelancer;"0,859";2
cli-0186;Vetor Jurídico;Logística;SC;Essencial;1;"46,35";7;0;7;CLT;"0,821";4
cli-0187;Norte Farma;Varejo;PR;Business;10;"312,96";11;2;8;freelancer;"0,522";0
cli-0188;Vale Contábil;Construção;CE;Business;12;"349,81";17;1;7;PJ;"0,539";0
cli-0189;Pulso Contábil Ltda.;Construção;SP;Essencial;1;"43,17";21;4;6;freelancer;"0,553";1
cli-0190;Fluxo Contábil ME;Educação;GO;Business;14;"328,90";4;0;5;freelancer;"0,654";1
cli-0191;Lumen Turismo;Jurídico;RS;Essencial;1;"42,37";10;1;7;CLT;"0,78";1
cli-0192;Trilha Fitness;Saúde;RJ;Business;6;"240,32";5;1;9;PJ;"0,861";0
cli-0193;Foco Imóveis;Varejo;DF;Essencial;1;"45,63";17;1;8;freelancer;"0,982";2
cli-0194;Fluxo Móveis;Logística;RJ;Essencial;2;"44,52";25;0;7;CLT;"0,756";2
cli-0195;Sol Gráfica ME;Construção;SP;Essencial;2;"48,36";2;2;8;freelancer;"0,577";2
cli-0196;Pulso Educação Ltda.;Agro;MG;Business;11;"280,76";11;0;7;PJ;"0,814";1
cli-0197;Prisma Seguros RJ;Jurídico;SC;Essencial;1;"42,83";8;8;5;CLT;"0,859";2
cli-0198;Vetor Arquitetura;Logística;ES;Essencial;1;"47,96";21;1;6;CLT;"0,693";0
cli-0199;Cerrado Estética;Saúde;RJ;Essencial;1;"45,53";1;1;8;CLT;"0,701";1
cli-0200;Rota Consultoria ME;Educação;MG;Essencial;1;"41,64";4;2;6;PJ;"0,79";2
cli-0201;Lagoa Transportes;Jurídico;SP;Essencial;1;"41,85";19;0;4;PJ;"0,624";0
cli-0202;Sol Turismo;Jurídico;GO;Essencial;1;"45,95";14;;;freelancer;"0,783";2
cli-0203;Vale Arquitetura Ltda.;Educação;MG;Essencial;2;"48,62";2;0;8;freelancer;"0,73";3
cli-0204;Clave Odonto;Construção;DF;Essencial;1;"45,99";4;4;9;PJ;"0,715";1
cli-0205;Foco Agro ME BA;Construção;PR;Profissional;1;"80,99";8;0;4;CLT;"0,57";3
cli-0206;Nexo Gráfica;Agro;SC;Business;15;"348,68";9;0;9;PJ;"0,58";2
cli-0207;Base Estética;Agro;RS;Essencial;1;"42,93";5;0;7;PJ;"0,929";2
cli-0208;Órbita Imóveis;Agro;BA;Profissional;5;"109,26";3;1;8;CLT;"0,786";4
cli-0209;Vetor Educação;Agro;PE;Profissional;13;"195,18";16;4;9;PJ;"0,826";2
cli-0210;Alpha Educação Ltda.;Construção;PE;Essencial;1;"43,38";39;1;6;CLT;"0,341";1
cli-0211;Norte Clínicas;Varejo;MG;Essencial;1;"42,51";3;2;6;freelancer;"0,664";2
cli-0212;Mapa Turismo;Logística;RS;Essencial;1;"47,14";2;1;8;CLT;"0,78";3
cli-0213;Pulso Agro;Educação;ES;Profissional;6;"137,33";19;0;7;CLT;"0,248";1
cli-0214;Lagoa Jurídico;Saúde;RS;Profissional;3;"104,57";37;0;8;PJ;"0,807";1
cli-0215;Eixo Imóveis ME;Serviços;PR;Essencial;7;"73,25";4;0;6;PJ;"0,694";2
cli-0216;Norte Odonto GO;Educação;SP;Essencial;2;"45,10";67;;;CLT;"0,875";5
cli-0217;Sinal Logística Ltda.;Varejo;SP;Profissional;7;"140,54";12;0;9;CLT;"0,903";1
cli-0218;Marco Consultoria SC;Logística;ES;Profissional;4;"101,18";13;29;5;PJ;"0,725";2
cli-0219;Sinal Gráfica SC;Saúde;SC;Profissional;1;"84,44";15;1;9;freelancer;"0,738";1
cli-0220;Norte Turismo ME;Logística;PE;Business;12;"318,72";1;0;8;CLT;"0,564";2
cli-0221;Foco Consultoria;Educação;SC;Essencial;4;"57,77";7;2;8;CLT;"0,595";2
cli-0222;Cerrado Logística;Logística;CE;Business;13;"350,14";7;15;4;freelancer;"0,834";3
cli-0223;Cerrado Engenharia;Agro;ES;Essencial;4;"60,25";42;1;9;CLT;"0,496";1
cli-0224;Nexo Consultoria Ltda.;Construção;RJ;Profissional;4;"113,35";41;0;8;CLT;"0,635";1
cli-0225;Prisma Jurídico ME;Jurídico;SP;Essencial;3;"55,01";2;0;8;freelancer;"0,653";0
cli-0226;Rota Móveis;Saúde;SP;Profissional;7;"128,58";30;0;9;PJ;"0,369";2
cli-0227;Sol Engenharia;Jurídico;SP;Essencial;3;"52,10";5;0;6;freelancer;"0,791";0
cli-0228;Órbita Logística;Serviços;SP;Profissional;3;"108,14";26;0;7;CLT;"0,767";2
cli-0229;Rota Imóveis;Jurídico;SP;Profissional;3;"105,25";21;7;6;freelancer;"0,771";1
cli-0230;Sinal Engenharia ME;Agro;PE;Profissional;7;"122,86";26;0;8;PJ;"0,651";2
cli-0231;Nexo Educação Ltda.;Jurídico;DF;Essencial;5;"63,68";2;2;6;PJ;"0,703";1
cli-0232;Raiz Contábil;Agro;BA;Essencial;2;"50,01";5;22;1;CLT;"0,825";1
cli-0233;Nexo Imóveis PR;Jurídico;DF;Profissional;8;"151,49";7;2;8;PJ;"0,524";2
cli-0234;Vetor Clínicas;Saúde;RJ;Profissional;5;"126,05";9;2;7;CLT;"0,581";0
cli-0235;Ponte Turismo ME;Varejo;PE;Essencial;2;"52,35";46;1;6;PJ;"0,536";5
cli-0236;Órbita Móveis;Jurídico;SP;Essencial;3;"59,30";8;1;7;PJ;"0,689";1
cli-0237;Marco Turismo;Serviços;RJ;Essencial;1;"46,61";30;1;7;freelancer;"0,419";0
cli-0238;Órbita Farma Ltda.;Educação;ES;Essencial;1;"40,70";28;0;7;PJ;"0,514";2
cli-0239;Base Turismo SP;Serviços;MG;Profissional;7;"132,96";10;12;1;freelancer;"0,745";0
cli-0240;Nexo Móveis ME;Educação;PE;Essencial;1;"45,82";21;1;10;CLT;"0,494";0
cli-0241;Meta Farma;Construção;RS;Profissional;2;"86,36";11;1;5;CLT;"0,763";3
cli-0242;Raiz Pet;Logística;SP;Essencial;1;"43,37";40;0;8;freelancer;"0,935";3
cli-0243;Trilha Móveis;Varejo;RS;Business;18;"409,05";6;0;8;PJ;"0,842";2
cli-0244;Lumen Gráfica SC;Educação;DF;Profissional;8;"156,33";1;0;6;CLT;"0,503";2
cli-0245;Marco Pet Ltda.;Jurídico;GO;Essencial;3;"52,70";1;1;8;CLT;"0,623";1
cli-0246;Sinal Contábil;Construção;MG;Essencial;3;"52,69";1;0;8;freelancer;"0,594";5
cli-0247;Prisma Jurídico;Varejo;CE;Essencial;1;"41,14";29;0;7;PJ;"0,883";0
cli-0248;Rota Seguros;Construção;SP;Profissional;6;"127,52";38;0;8;CLT;"0,755";1
cli-0249;Base Transportes;Varejo;SC;Essencial;3;"57,79";2;12;2;CLT;"0,582";1
cli-0250;Serra Odonto ME;Agro;GO;Business;15;"323,20";30;0;4;PJ;"0,678";0
cli-0251;Sol Imóveis SP;Agro;SP;Profissional;5;"124,68";17;1;8;freelancer;"0,359";2
cli-0252;Lagoa Consultoria Ltda. SC;Logística;SP;Profissional;3;"107,81";1;;;freelancer;"0,842";2
cli-0253;Nexo Odonto;Saúde;ES;Profissional;2;"95,60";5;1;9;freelancer;"0,753";0
cli-0254;Pulso Clínicas;Educação;SP;Profissional;3;"94,86";29;7;3;PJ;"0,452";1
cli-0255;Fluxo Pet ME;Varejo;PR;Profissional;3;"105,62";9;2;7;CLT;"0,595";2
cli-0256;Ágil Gráfica ES;Educação;GO;Business;10;"292,74";1;4;1;CLT;"0,695";3
cli-0257;Foco Arquitetura;Educação;SP;Business;10;"298,51";2;2;8;CLT;"0,833";0
cli-0258;Raiz Jurídico;Logística;DF;Essencial;2;"46,82";3;11;4;CLT;"0,893";1
cli-0259;Raiz Móveis Ltda.;Varejo;CE;Essencial;1;"45,03";21;3;5;CLT;"0,864";2
cli-0260;Fluxo Farma ME PR;Logística;CE;Essencial;1;"41,89";9;3;8;PJ;"0,827";2
cli-0261;Ipê Estética PR;Serviços;SP;Business;10;"292,69";11;1;6;CLT;"0,802";1
cli-0262;Marco Contábil SP;Serviços;SC;Profissional;2;"98,68";10;14;5;CLT;"0,83";0
cli-0263;Vale Engenharia SC;Educação;PR;Essencial;1;"46,01";4;1;4;CLT;"0,871";2
